Store_ID,Store_Name,City,Lat,Lon,Store_Type,Annual_Sales,Return_Rate,Annual_Returns,Grade_A_Units,Grade_B_Units,Grade_C_Units,Facility_ID,Supply,Distance_Miles,Weighted_Distance,Transport_Cost
ST034,Apple Sherman Oaks,Sherman Oaks,34.151234,-118.44789,Standard,4837,0.0707697990982879,342,85,153,102,FC04,342,246.4,84268.8,14.534682624000004
ST035,Apple Santa Anita,Arcadia,34.124567,-118.058901,Standard,5378,0.0728975145291376,392,98,176,117,FC04,392,258.27,101241.84,17.462192563200002
ST036,Apple Irvine Spectrum,Irvine,33.650234,-117.739567,Flagship,8974,0.07161221287254,642,160,288,192,FC04,642,306.76,196939.92,33.9681974016
ST037,Apple Fashion Island,Newport Beach,33.616228,-117.874525,Flagship,9582,0.0792969765234257,759,189,341,227,FC04,759,305.77,232079.43,40.02906008640001
ST038,Apple Mission Viejo,Mission Viejo,33.55789,-117.661234,Standard,6764,0.0780812037956441,528,132,237,158,FC04,528,316.7,167217.6,28.841691648000005
ST039,Apple Main Place,Santa Ana,33.716789,-117.889012,Standard,5263,0.0763340375651042,401,100,180,120,FC04,401,296.97,119084.97000000002,20.539775625600008
ST040,Apple South Coast Plaza,Costa Mesa,33.690345,-117.888678,Flagship,11247,0.0787146059018771,885,221,398,265,FC04,885,299.19,264783.15,45.66979771200001
ST041,Apple Huntington Beach,Huntington Beach,33.711234,-117.993456,Standard,4879,0.0780367207689911,380,95,171,114,FC04,380,294.63,111959.4,19.310757312000003
ST042,Apple Fashion Valley,San Diego,32.767971,-117.166936,Flagship,10306,0.0718657005888603,740,185,333,222,FC04,740,396.62,293498.8,50.62267302400001
ST043,Apple UTC,San Diego,32.870378,-117.212512,Flagship,8689,0.0789255899848997,685,171,308,205,FC04,685,386.82,264971.7,45.70231881600001
ST044,Apple Carlsbad,Carlsbad,33.081234,-117.236789,Standard,6562,0.0753934224191565,494,123,222,148,FC04,494,368.85,182211.9,31.42790851200001
ST045,Apple Plaza Bonita,National City,32.655678,-117.073901,Standard,4564,0.0780744015516406,356,89,160,106,FC04,356,408.71,145500.75999999998,25.0959710848
ST046,Apple North County,Escondido,33.124567,-117.062345,Standard,5867,0.0789609129992349,463,115,208,138,FC04,463,371.15,171842.44999999998,29.639385776
ST047,Apple Arden Fair,Sacramento,38.601234,-121.426789,Standard,5652,0.0731800347497186,413,103,185,123,FC05,413,140.02,57828.26,9.974218284800004
ST048,Apple Roseville,Roseville,38.765432,-121.271234,Standard,6527,0.0711005192452767,464,116,208,139,FC05,464,122.55,56863.2,9.807764736
ST049,Apple Fresno,Fresno,36.782345,-119.804567,Standard,5995,0.0722793516254194,433,108,194,129,FC04,433,27.82,12046.06,2.0777044288
ST050,Apple Bakersfield,Bakersfield,35.353456,-119.002789,Standard,5662,0.0742710778862625,420,105,189,126,FC04,420,131.48,55221.6,9.524621568
ST051,Apple Monterey,Monterey,36.58545,-121.894126,Standard,6022,0.0781801476592249,470,117,211,141,FC04,470,179.21,84228.7,14.527766176000002
ST052,Apple Modesto,Modesto,37.639234,-120.995678,Standard,4891,0.0786073058325634,384,96,172,115,FC05,384,188.99,72572.16,12.517246156800002
ST053,Apple Palm Desert,Palm Desert,33.761234,-116.378901,Standard,6198,0.0700695213053119,434,108,195,130,FC04,434,350.82,152255.88,26.261094182400004
ST054,Apple Riverside,Riverside,33.97789,-117.372345,Standard,4918,0.0751074730257756,369,92,166,110,FC04,369,292.75,108024.75,18.632108880000004
